Unnamed: 0,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross,genres,genre_name
5500,"[35, 10402]",63574,en,Joyful Noise,6.787,2012-01-13,Joyful Noise,6.4,70,WB,30900000,226000,2012,31126000,10402,Music
5501,"[12, 18, 10749]",78698,en,Big Miracle,6.76,2012-02-03,Big Miracle,6.6,250,Uni.,20200000,4600000,2012,24800000,12,Adventure
5501,"[12, 18, 10749]",78698,en,Big Miracle,6.76,2012-02-03,Big Miracle,6.6,250,Uni.,20200000,4600000,2012,24800000,18,Drama
5501,"[12, 18, 10749]",78698,en,Big Miracle,6.76,2012-02-03,Big Miracle,6.6,250,Uni.,20200000,4600000,2012,24800000,10749,Romance
5503,"[18, 35]",84305,en,Lay the Favorite,6.728,2012-12-07,Lay the Favorite,5.3,125,RTWC,21000,1600000,2012,1621000,18,Drama
5503,"[18, 35]",84305,en,Lay the Favorite,6.728,2012-12-07,Lay the Favorite,5.3,125,RTWC,21000,1600000,2012,1621000,35,Comedy
5516,"[35, 18]",82618,en,Girl in Progress,6.556,2012-05-11,Girl in Progress,5.5,71,LGF,2600000,2000000,2012,4600000,35,Comedy
5516,"[35, 18]",82618,en,Girl in Progress,6.556,2012-05-11,Girl in Progress,5.5,71,LGF,2600000,2000000,2012,4600000,18,Drama
5517,[18],82684,en,Chasing Mavericks,6.546,2012-10-26,Chasing Mavericks,7,329,Fox,6000000,600,2012,6000600,18,Drama
5519,"[16, 10402, 10749]",63498,en,Chico & Rita,6.515,2012-02-10,Chico & Rita,6.8,77,GK,351000,1900000,2012,2251000,16,Animation
5519,"[16, 10402, 10749]",63498,en,Chico & Rita,6.515,2012-02-10,Chico & Rita,6.8,77,GK,351000,1900000,2012,2251000,10402,Music
5519,"[16, 10402, 10749]",63498,en,Chico & Rita,6.515,2012-02-10,Chico & Rita,6.8,77,GK,351000,1900000,2012,2251000,10749,Romance
5523,"[18, 10749, 35]",113947,en,The Sessions,6.46,2012-10-18,The Sessions,6.9,296,FoxS,6000000,3100000,2012,9100000,18,Drama
5523,"[18, 10749, 35]",113947,en,The Sessions,6.46,2012-10-18,The Sessions,6.9,296,FoxS,6000000,3100000,2012,9100000,10749,Romance
5523,"[18, 10749, 35]",113947,en,The Sessions,6.46,2012-10-18,The Sessions,6.9,296,FoxS,6000000,3100000,2012,9100000,35,Comedy
5540,"[18, 35]",103747,en,The Angels' Share,6.315,2012-06-27,The Angels' Share,7.1,243,IFC,347000,6700000,2013,7047000,18,Drama
5540,"[18, 35]",103747,en,The Angels' Share,6.315,2012-06-27,The Angels' Share,7.1,243,IFC,347000,6700000,2013,7047000,35,Comedy
5562,"[35, 16]",75491,fr,Le Chat du rabbin,6.142,2012-12-14,The Rabbi's Cat,6.8,86,GK,23400,3700000,2012,3723400,35,Comedy
5562,"[35, 16]",75491,fr,Le Chat du rabbin,6.142,2012-12-14,The Rabbi's Cat,6.8,86,GK,23400,3700000,2012,3723400,16,Animation
5564,[18],79382,ja,奇跡,6.138,2012-05-11,I Wish,7.2,68,Magn.,146000,1400000,2012,1546000,18,Drama
5568,"[35, 18]",78206,fr,Poulet aux Prunes,6.116,2012-08-31,Chicken with Plums,7.2,86,SPC,254000,1200000,2012,1454000,35,Comedy
5568,"[35, 18]",78206,fr,Poulet aux Prunes,6.116,2012-08-31,Chicken with Plums,7.2,86,SPC,254000,1200000,2012,1454000,18,Drama
5581,[18],77878,en,The Lady,5.953,2012-04-10,The Lady,6.9,130,Cohen,355000,3400000,2012,3755000,18,Drama
5588,"[35, 10749]",67660,en,Think Like a Man,5.905,2012-04-20,Think Like a Man,6.9,438,SGem,91500000,4500000,2012,96000000,35,Comedy
5588,"[35, 10749]",67660,en,Think Like a Man,5.905,2012-04-20,Think Like a Man,6.9,438,SGem,91500000,4500000,2012,96000000,10749,Romance
5591,[18],91186,cn,桃姐,5.877,2012-04-13,A Simple Life,7.3,58,CL,192000,2600000,2012,2792000,18,Drama
5606,[18],73562,fr,La guerre est déclarée,5.734,2012-06-05,Declaration of War,7.1,111,IFC,59100,5800000,2012,5859100,18,Drama
5607,[18],62321,el,Attenberg,5.733,2012-03-09,Attenberg,5.9,52,Strand,24000,45900,2012,69900,18,Drama
5622,[878],112090,en,Branded,5.461,2012-09-07,Branded,4.6,102,RAtt.,354000,3400000,2012,3754000,878,Science Fiction
5662,[35],48748,da,Klovn - the movie,4.821,2012-04-20,Klown,6.5,60,Drft.,68800,12400000,2012,12468800,35,Comedy
5685,[28],102632,hi,राउडी राठौर,4.562,2012-06-01,Rowdy Rathore,5.9,40,UTV,777000,28600000,2012,29377000,28,Action
5689,[99],72334,en,Chimpanzee,4.5,2012-04-20,Chimpanzee,7.2,61,BV,29000000,5900000,2012,34900000,99,Documentary
5805,[35],112936,hi,Bol Bachchan,3.329,2012-07-06,Bol Bachchan,5.9,35,FIP,1200000,27600000,2012,28800000,35,Comedy
5868,"[53, 18]",89070,ru,Камень,2.84,2012-06-06,Stone,4.9,8,Over.,1800000,7700000,2010,9500000,53,Thriller
5868,"[53, 18]",89070,ru,Камень,2.84,2012-06-06,Stone,4.9,8,Over.,1800000,7700000,2010,9500000,18,Drama
5896,[35],164502,ru,Дублёр,2.664,2012-12-29,The Double,4.3,15,Imag.,138000,3600000,2011,3738000,35,Comedy
